population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
,0.617,45628.0,,60.2,60.0,82.8,honduras,,32.0,95.9,25.3,56.9,,,73.0,65.0,79.4,43.4,78.2,honduras,2019.0,31.0
,0.784,44654.0,,57.0,50.0,82.3,trinidad and tobago,,75.6,16.6,32.9,67.8,,,75.1,60.0,68.4,52.3,61.9,trinidad and tobago,2019.0,40.6
,0.601,44639.0,,57.4,20.0,86.9,laos,,60.1,66.5,33.5,60.1,,,78.5,35.0,81.8,38.8,85.3,laos,2019.0,42.5
,0.768,44462.0,,61.9,60.0,84.3,bosnia and herzegovina,,67.0,96.6,30.2,49.7,,,83.1,65.0,82.6,40.2,46.1,bosnia and herzegovina,2019.0,37.9
,0.505,43326.0,,56.3,40.0,70.8,senegal,,39.4,60.0,40.3,53.3,,,78.2,60.0,72.0,47.8,73.3,senegal,2019.0,40.4
,0.427,40974.0,,58.1,40.0,68.7,mali,,52.2,84.2,29.6,53.8,,,81.6,65.0,69.8,33.7,85.4,mali,2019.0,33.4
,0.519,40055.0,,56.6,50.0,91.0,madagascar,,44.6,85.5,14.3,47.3,,,72.4,55.0,69.2,33.2,91.8,madagascar,2019.0,24.4
,0.78,39318.0,,75.9,70.0,87.1,georgia,,76.6,93.9,58.5,85.8,,,76.0,80.0,88.6,65.9,73.6,georgia,2019.0,54.6
,0.717,39054.0,,69.5,70.0,82.7,botswana,,68.2,94.6,52.4,68.7,,,78.8,65.0,83.8,58.1,65.9,botswana,2019.0,45.7
,0.741,37731.0,,55.4,60.0,88.5,mongolia,,75.0,6.2,29.8,66.0,,,77.8,50.0,75.8,48.2,63.1,mongolia,2019.0,23.8
,0.437,37321.0,,48.6,50.0,75.5,mozambique,,42.0,16.6,28.1,57.1,,,65.4,35.0,78.0,33.9,66.9,mozambique,2019.0,35.2
